,Latitude,Longitude,Stop_Name,Routes_Available,Stop_ID,census_block,census_blockgroup,census_tract,census_index
0,38.993831,-77.02973100000001,SSTC ML COLLECTION POINT I/B,"70, 79, F4, J4, Q1, Q2, Q2v1, Q2v2, Q4, Y2, Y7, Y8",0,4003,4,702500,7025004
1,39.077106,-76.953772,Z11 EXPRESS ANOUNCEMENT,"Z11, Z11v1",0,1010,1,701414,7014141
2,38.920629,-77.073797,BENTON ST NW + TUNLAW RD NW,"D1, D2",1001773,4005,4,000300,0003004
3,38.920759999999994,-77.021924,GEORGIA AVE NW + BARRY PL NW,70,1001774,2007,2,003400,0034002
4,38.920636,-77.076667,BENTON ST NW + 39TH ST NW,"D1, D2",1001775,4009,4,000300,0003004
5,38.920612,-77.016037,BRYANT ST NW + #301,G2,1001776,2000,2,003400,0034002
6,38.920837,-77.03639100000001,16TH ST NW + CRESCENT PL NW,"S1v1, S2, S4",1001777,3000,3,003700,0037003
7,38.920853,-76.997828,RHODE ISLAND AVE NE + #610,"G8v1, P6, P6v2",1001778,2001,2,009204,0092042
8,38.920919,-77.043683,COLUMBIA RD NW + MINTWOOD PL NW,"42, 43, H1, L2, L2v2",1001779,1000,1,004002,0040021
9,38.9209,-77.031741,14TH ST NW + BELMONT ST NW,"52, 52v1, 52v3, 54, 59",1001782,1002,1,003600,0036001
10,38.920819,-76.989421,BRENTWOOD RD NE + 13TH ST NE,D8,1001783,2006,2,009102,0091022
11,38.92091,-77.062748,MASSACHUSETTS AVE NW + OBSERVATORY CIR NW,"N2, N4, N4v1, N6",1001784,2016,2,000400,0004002
12,38.921191,-77.00891,N CAPITOL ST NE + BRYANT ST NE,"80, 80v1, 80v2, 80v3",1001785,1005,1,009203,0092031
13,38.921137,-77.022193,GEORGIA AVE NW + BARRY PL NW,"70, 70v1",1001786,2000,2,003500,0035002
14,38.921486,-76.988901,BRENTWOOD RD NE + BRYANT ST NE,"D8, D8v1",1001788,2003,2,009102,0091022
15,38.921298,-77.043746,COLUMBIA RD NW + MINTWOOD PL NW,"42, 43, H1, L2, L2v2",1001789,1002,1,004001,0040011
16,38.921431,-76.969284,BLADENSBURG RD NE + 26TH ST NE,"B2, B2v3",1001791,1033,1,011100,0111001
17,38.921464,-76.96893299999999,BLADENSBURG RD NE + 26TH ST NE,"B2, B2v2",1001792,1025,1,011100,0111001
18,38.921468,-77.000674,4TH ST NE + BRYANT ST NE,"D8, G8, G8v3",1001793,2011,2,009203,0092032
19,38.921492,-77.00918,N CAPITOL ST NW + BRYANT ST NE,"80, 80v1, 80v2, 80v3",1001794,1001,1,003301,0033011
20,38.921741,-77.063163,MASSACHUSETTS AVE NW + OBSERVATORY CIR NW,"N2, N4, N4v1, N6",1001796,2009,2,000400,0004002
21,38.921701,-76.995337,RHODE ISLAND AVE NE + 8TH PL NE,"G8v1, G9, G9v1, P6, P6v2",1001797,1015,1,009302,0093021
22,38.921827,-76.956313,FORT LINCOLN DR NE + 33RD PL NE,"B8, B8v1, B8v2, B9, H6, H6v1",1001798,1010,1,009000,0090001
23,38.922058,-76.96034399999999,SOUTH DAKOTA AVE NE + 33RD ST NE,"B8, B8v2, B9, H6, H6v1",1001799,1010,1,009000,0090001
24,38.922092,-77.099254,MACARTHUR BLVD NW + CHAIN BRIDGE RD NW,"D5, D6, D6v3",1001802,2006,2,000801,0008012
25,38.922243,-76.968304,BLADENSBURG RD NE + CHANNING ST NE,"B2, B2v2",1001806,1025,1,011100,0111001
26,38.922308,-77.031871,14TH ST NW + CLIFTON ST NW,"52, 52v1, 52v3, 54",1001807,1001,1,003600,0036001
27,38.922246,-77.042659,18TH ST NW + COLUMBIA RD NW,"90, 96, 96v1, 96v5, X3",1001808,1000,1,004002,0040021
28,38.922412,-77.042891,COLUMBIA RD NW + 18TH ST NW,"42, 43, H1",1001809,1000,1,004002,0040021
29,38.922432,-77.04321800000001,COLUMBIA RD NW + BILTMORE ST NW,"42, 43, H1, L2, L2v2",1001810,1000,1,004001,0040011
30,38.922469,-77.099938,MACARTHUR BLVD NW + CHAIN BRIDGE RD NW,"D5, D6, D6v2",1001812,2035,2,000902,0009022
31,38.922514,-76.968398,BLADENSBURG RD NE + CHANNING ST NE,B2,1001813,1012,1,011100,0111001
32,38.922629,-76.989566,SARATOGA AVE NE + 12TH ST NE,D8,1001814,2002,2,009102,0091022
33,38.922581,-77.079109,CALVERT ST NW + 40TH ST NW,"D1, D2, D2v1",1001815,1006,1,000702,0007021
34,38.922609,-77.080529,CALVERT ST NW + 41ST ST NW,"D1, D2, D2v1",1001816,1006,1,000702,0007021
35,38.92246,-77.022385,GEORGIA AVE NW + HOWARD PL NW,"70, 70v1, 79",1001820,2000,2,003500,0035002
36,38.922682,-77.077117,39TH PL NW + CALVERT ST NW,"D1, D2, D2v1",1001821,1006,1,000702,0007021
37,38.922944,-76.990415,RHODE ISLAND AVE NE + 12TH ST NE,"83, 83v2, 83v3, 86, 86v1, B8, B9, D8, D8v1, S41, T14, T18",1001823,2004,2,009102,0091022
38,38.923114,-77.057321,CALVERT ST NW + MCGILL TER NW,"96, 96v5",1001825,2026,2,000400,0004002
39,38.92315,-77.051473,CONNECTICUT AVE NW + CALVERT ST NW,L1,1001826,2002,2,000501,0005012
40,38.923255,-76.97893499999999,18TH ST NE + DOUGLAS ST NE,E2,1001828,3007,3,011100,0111003
41,38.923212,-77.047585,CALVERT ST NW + BILTMORE ST NW,"96, 96v5, L2, L2v2",1001829,3000,3,004001,0040013
42,38.923321,-76.989964,RHODE ISLAND AVE NE + 12TH ST NE,"83, 83v1, 83v4, 86, B8, B9, T14, T14v1, T18",1001830,1012,1,009302,0093021
43,38.923293,-77.000058,EDGEWOOD ST NE + DOUGLAS ST NE,"D8, G8, G8v3",1001833,1007,1,009204,0092041
44,38.923297,-77.0574,CALVERT ST NW + 29TH ST NW,"96, 96v1",1001835,2000,2,000501,0005012
45,38.923448,-76.962401,SOUTH DAKOTA AVE NE + 31ST PL NE,"B8, B8v2, B9, H6, H6v1",1001836,1010,1,009000,0090001
46,38.92337,-76.999589,EDGEWOOD ST NE + DOUGLAS ST NE,G8,1001837,2002,2,009204,0092042
47,38.923386,-77.047285,CALVERT ST LOOP + CALVERT ST NW,"90, 90v1, 96v1, 96v3, X3",1001838,2010,2,003900,0039002
48,38.923372,-77.053035,CALVERT ST NW + SHOREHAM-AMERICANA,"96, 96v5",1001840,2001,2,000501,0005012
49,38.923521,-77.08039000000001,41ST ST NW + DAVIS PL NW,"D1, D2, D2v1",1001842,1006,1,000702,0007021
